,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,"$11,219","$1,863","$1,470","$3,333","$-3,059",-,$-56,$384,$-512,"$14,040","$-4,613",-,$-4,$-470,$-59,$-529,$-27,"$-5,173",$-206,-,$-206,"$-1,929","$-1,929",-,"$-1,072","$-3,207","$5,975","$1,784",-
2020-09-30,"$7,846","$1,698",$223,"$1,921",$-377,-,$139,$557,$62,"$9,829","$-3,689",-,$-12,"$-6,875","$-6,302","$-13,177",$279,"$-16,599",$-189,-,$-189,"$-1,725","$-1,725",-,$-997,"$-2,911","$-9,590","$1,722",-
2020-06-30,"$5,179","$1,704","$1,951","$3,655",$-122,-,$-56,$-783,"$-4,957","$3,877","$-3,255",-,$-339,$-338,-,$-338,$-246,"$-4,178",$-109,-,$-109,"$-1,368","$-1,368",-,$-675,"$-2,152","$-2,358","$1,695",-
2020-03-31,"$4,902","$1,597","$1,818","$3,415","$2,046",-,$-44,$-298,"$2,684","$11,001","$-3,558",-,$-33,$-476,-,$-476,$-42,"$-4,109",$-100,-,$-100,"$-1,250","$-1,250",-,$-672,"$-2,022","$4,648","$1,335",-
2019-12-31,"$7,349","$1,468",$874,"$2,342","$-1,697",-,$111,$117,$-608,"$9,083","$-4,100",-,$-445,$509,-,$509,-,"$-4,036",$-141,-,$-141,"$-1,296","$-1,296",-,$-589,"$-2,026","$3,199","$1,274",-
2019-09-30,"$6,091","$1,416","$1,453","$2,869",$-328,-,$89,$129,$347,"$9,307","$-3,532",-,$-10,"$-1,508",$-61,"$-1,569",$61,"$-5,050",$-144,-,$-144,"$-1,148","$-1,148",-,$-727,"$-2,019","$2,082","$1,249",-
2019-06-30,"$2,616","$1,502","$1,312","$2,814","$-1,006",-,$9,"$1,355","$3,186","$8,616","$-3,633",-,$-3,$-313,-,$-313,$-61,"$-4,010",$-142,-,$-142,"$-1,145","$-1,145",-,$-544,"$-1,831","$2,801","$1,303",-
2019-03-31,"$2,429","$1,355","$1,199","$2,554","$1,070",-,$-96,$197,"$4,325","$9,308","$-3,837",-,$-50,"$-2,881",-,"$-2,881",-,"$-6,768",$-125,-,$-125,$-613,$-613,-,$-685,"$-1,423","$1,073","$1,010",-
2018-12-31,"$6,882","$1,225","$1,092","$2,317","$-1,564",-,$133,$-523,"$-1,581","$7,618","$-4,301",-,$-137,$637,$-25,$612,$141,"$-3,685",-,-,-,"$-3,500","$-3,500",-,$-41,"$-3,541",$380,$972,-
2018-09-30,"$5,137","$1,107","$1,069","$2,176",$-489,-,$38,$282,$185,"$7,498","$-3,342",-,-,$-830,-,$-830,$-75,"$-4,247",-,-,-,"$-4,256","$-4,256",-,$-901,"$-5,157","$-1,924","$1,039",-
