,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$315,$210,$13,$223,$-192,$-68,$330,$142,$271,$799,$-91,$-1,-,-,-,-,$-2,$-94,$-27,$-2,$-29,-,-,$-20,$18,$-31,$699,$36,$-4
2020-09-30,$305,$195,$71,$266,$-785,$-14,$758,$-66,$-5,$559,$-115,$-1,$-22,-,-,-,-,$-138,$8,$-170,$-162,-,-,$-16,$-18,$-196,$237,$12,-
2020-06-30,$-365,$187,$72,$259,$474,$151,$-732,$-41,$-38,$-106,$-165,-,$-22,-,-,-,-,$-187,"$-1,938",$-171,"$-2,109","$1,115","$2,230",-,$-1,$120,$-170,$13,-
2020-03-31,"$1,567",$181,"$-1,460","$-1,279",$260,$-77,$-170,$12,$-73,$161,$-203,-,$-5,-,-,-,$1,$-207,"$1,900",$-29,"$1,871",$-57,$-57,$-62,$-32,"$1,720","$1,658",$-1,$-62
2019-12-31,$241,$180,$-7,$173,$99,$71,$152,$-37,$297,$703,$-161,$-6,$-311,-,-,-,$-1,$-479,$631,$-694,$-63,$-30,$-30,$-67,-,$-160,$71,$23,$-67
2019-09-30,$252,$179,$58,$237,$17,$-41,$-45,$-34,$-155,$325,$-164,$-1,-,-,-,-,$2,$-163,$-646,$572,$-74,$-44,$-44,$-56,-,$-174,$-23,$7,$-56
2019-06-30,$271,$189,$27,$216,$59,$27,$-27,$-117,$8,$512,$-210,-,$-25,-,-,-,$1,$-234,$-7,$-32,$-39,$-120,$-120,$-57,-,$-216,$59,$21,$-57
2019-03-31,$245,$175,$27,$202,$-249,$-49,$53,$-45,$-325,$84,$-232,$-3,$2,-,-,-,$-2,$-235,$-16,$234,$218,$-226,$-226,$-57,$-34,$-99,$-246,$15,$-57
2018-12-31,$257,$204,$69,$273,$183,$130,$-16,$-44,$240,$757,$-182,$-16,$-685,-,-,-,$4,$-879,$-5,$279,$274,$-285,$-285,$-62,-,$-73,$-204,$25,$-62
2018-09-30,$231,$164,$19,$183,$-37,$-93,$-67,$-117,$-230,$171,$-208,-,-,-,-,-,-,$-208,$-3,$-1,$-4,$-65,$-65,$-84,$-8,$-161,$-199,$6,$-84
2018-06-30,$303,$158,$-25,$133,$115,$-38,$5,$38,$120,$545,$-203,-,$-507,-,-,-,$-6,$-716,$-5,$-45,$-50,-,-,$-58,$-8,$-116,$-375,$14,$-58
2018-03-31,$316,$157,$-35,$122,$-206,$-119,$140,$-89,$-272,$155,$-240,-,$-5,-,-,-,-,$-245,-,$35,$35,$-149,$-149,$-59,$-32,$-205,$-251,$13,$-59
2017-12-31,$277,$156,$-48,$108,$-165,$42,$185,$-157,$56,$428,$-217,-,$-284,-,-,-,$-69,$-570,$-2,$-7,$-9,-,-,$-105,$465,$351,$243,$19,$-105
2017-09-30,$413,$138,$43,$181,$-57,$-91,$4,$-10,$-431,$151,$-165,$-25,-,-,-,-,$-29,$-219,$796,$-3,$793,$-94,$-94,$-77,$-4,$618,$561,$15,$-77
2017-06-30,$386,$131,$126,$257,$31,$-65,$24,$-26,$-32,$599,$-145,$-10,-,-,-,-,$-38,$-193,-,$-1,$-1,$-95,$-95,$-78,$-7,$-181,$245,$15,$-78
2017-03-31,$352,$128,$-56,$72,$-96,$-110,$55,$-30,$-131,$290,$-164,$-15,$-40,-,-,-,$-51,$-270,-,$-4,$-4,$-194,$-194,$-88,$-46,$-332,$-291,$13,$-88
2016-12-31,$306,$-35,$-185,$-220,$23,$148,$-39,$67,$641,$683,$-38,-,$193,$1,-,$1,$-147,$9,-,$-20,$-20,$-104,$-104,$-97,-,$-221,$443,$15,$-97
2016-09-30,$306,$176,$89,$265,$-89,$-57,$-1,$-5,$-135,$415,$-196,-,-,$-1,-,$-1,-,$-197,$-10,$-65,$-75,$-95,$-95,$-91,$-4,$-265,$-42,$19,$-91
2016-06-30,$271,$192,$116,$308,$37,$-31,$-5,$-7,$16,$575,$-165,-,-,-,-,-,$-1,$-166,-,$-270,$-270,$-77,$-77,$-79,$-3,$-429,$-26,$11,$-79
2016-03-31,$443,$165,$-73,$92,$-178,$-105,$80,$-4,$-248,$268,$-239,$-3,$37,-,-,-,$-19,$-224,-,$321,$321,$-358,$-358,$-92,$-37,$-166,$-116,$17,$-92
